code,name,market_id,category33_id,category17_id,scale_id
8801,三井不動産,1,8050.0,17.0,1.0
8802,三菱地所,1,8050.0,17.0,1.0
8803,平和不動産,1,8050.0,17.0,6.0
8804,東京建物,1,8050.0,17.0,4.0
8806,ダイビル,1,8050.0,17.0,6.0
8818,京阪神ビルディング,1,8050.0,17.0,7.0
8830,住友不動産,1,8050.0,17.0,2.0
8835,太平洋興発,1,6050.0,13.0,7.0
8836,ＲＩＳＥ,3,8050.0,17.0,
8840,大京,1,8050.0,17.0,6.0
8841,テーオーシー,1,8050.0,17.0,7.0
8842,東京楽天地,1,8050.0,17.0,7.0
8844,コスモスイニシア,3,8050.0,17.0,
8848,レオパレス２１,1,8050.0,17.0,4.0
8850,スターツコーポレーション,1,8050.0,17.0,6.0
8851,アーバンライフ,6,8050.0,17.0,
8854,日住サービス,6,8050.0,17.0,
8860,フジ住宅,1,8050.0,17.0,7.0
8864,空港施設,1,8050.0,17.0,7.0
8869,明和地所,1,8050.0,17.0,7.0
8870,住友不動産販売,1,8050.0,17.0,6.0
8871,ゴールドクレスト,1,8050.0,17.0,6.0
8876,リロ・ホールディング,1,9050.0,10.0,6.0
8877,日本エスリード,1,8050.0,17.0,7.0
8881,日神不動産,1,8050.0,17.0,7.0
8885,ラ・アトレ,4,8050.0,17.0,
8886,ウッドフレンズ,3,8050.0,17.0,
8887,リベレステ,3,8050.0,17.0,
8889,アパマンショップホールディングス,3,8050.0,17.0,
8890,レーサム,3,8050.0,17.0,
8891,エムジーホーム,6,8050.0,17.0,
8892,日本エスコン,1,8050.0,17.0,
8893,新日本建物,3,8050.0,17.0,
8894,原弘産,6,8050.0,17.0,
8897,タカラレーベン,1,8050.0,17.0,6.0
8898,センチュリー２１・ジャパン,3,8050.0,17.0,
8903,サンウッド,3,8050.0,17.0,
8904,サンヨーハウジング名古屋,1,8050.0,17.0,7.0
8905,イオンモール,1,8050.0,17.0,4.0
8908,毎日コムネット,3,8050.0,17.0,
8909,シノケングループ,3,8050.0,17.0,
8912,エリアクエスト,6,8050.0,17.0,
8914,エリアリンク,5,8050.0,17.0,
8917,ファースト住建,1,8050.0,17.0,7.0
8918,ランド,1,8050.0,17.0,7.0
8920,東祥,1,9050.0,10.0,7.0
8922,日本アセットマーケティング,5,8050.0,17.0,
8923,トーセイ,1,8050.0,17.0,6.0
8925,アルデプロ,6,8050.0,17.0,
8927,明豊エンタープライズ,3,8050.0,17.0,
8928,穴吹興産,1,8050.0,17.0,7.0
8929,青山財産ネットワークス,6,8050.0,17.0,
8931,和田興産,3,8050.0,17.0,
8933,エヌ・ティ・ティ都市開発,1,8050.0,17.0,4.0
8934,サンフロンティア不動産,1,8050.0,17.0,6.0
8935,エフ・ジェー・ネクスト,1,8050.0,17.0,7.0
8938,ロジコム,4,8050.0,17.0,
8940,インテリックス,1,8050.0,17.0,
8944,ランドビジネス,1,8050.0,17.0,7.0
8945,日本社宅サービス,5,8050.0,17.0,
